node14.cluster | 97920 | 2020-02-04 18:40:37.723650 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-04 18:40:37.739579 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-04 18:40:37.742961 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-04 18:40:37.778893 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-04 18:40:37.802510 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-04 18:40:37.811584 +0100 GMT |  | create graph edges
node14.cluster | 97920 | 2020-02-04 18:40:37.819237 +0100 GMT |  | connect output files
node14.cluster | 97920 | 2020-02-04 18:40:37.837780 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-04 18:40:37.839165 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-04 18:40:38.068140 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-04 18:40:38.096937 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-04 18:40:38.110892 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-04 18:40:38.124697 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-04 18:40:38.138374 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-04 18:40:38.150802 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-04 18:40:38.159615 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-04 18:40:38.168489 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-04 18:40:38.169555 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-04 18:40:38.175597 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-04 18:40:38.189427 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-04 18:40:38.193506 +0100 GMT |  | construct priority queue
node14.cluster | 97920 | 2020-02-04 18:40:38.277546 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-04 18:40:38.809555 +0100 GMT |  | set common data
node14.cluster | 97920 | 2020-02-04 18:40:38.840204 +0100 GMT |  | begin scheduling targets
node14.cluster | 97920 | 2020-02-04 18:40:40.209041 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-04 18:40:40.737014 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-04 18:40:40.744448 +0100 GMT | download_imputation | target download_imputation
node15.cluster | 153581 | 2020-02-04 18:40:40.765428 +0100 GMT | download_imputation | build on an hpc worker
node14.cluster | 97920 | 2020-02-04 18:40:49.149603 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-04 18:42:13.073935 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-04 18:43:16.095408 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-04 18:43:16.112050 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-04 18:43:16.115672 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-04 18:43:16.136995 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-04 18:43:16.143238 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-04 18:43:16.157012 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-04 18:43:16.158302 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-04 18:43:16.336657 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-04 18:43:16.349995 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-04 18:43:16.364018 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-04 18:43:16.377226 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-04 18:43:16.425637 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-04 18:43:16.458340 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-04 18:43:16.467601 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-04 18:43:16.476718 +0100 GMT | download_imputation | trigger command
