node14.cluster | 97920 | 2020-02-04 18:39:23.604591 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-04 18:39:23.622963 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-04 18:39:23.626343 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-04 18:39:23.644515 +0100 GMT |  | analyze imports
node14.cluster | 97920 | 2020-02-04 18:39:23.824636 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-04 18:39:23.828948 +0100 GMT |  | analyze commands
node14.cluster | 97920 | 2020-02-04 18:39:23.835244 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-04 18:39:23.853047 +0100 GMT |  | create graph edges
node14.cluster | 97920 | 2020-02-04 18:39:23.859954 +0100 GMT |  | connect output files
node14.cluster | 97920 | 2020-02-04 18:39:23.866992 +0100 GMT |  | finalize graph edges
node14.cluster | 97920 | 2020-02-04 18:39:23.868236 +0100 GMT |  | create igraph
node14.cluster | 97920 | 2020-02-04 18:39:23.870078 +0100 GMT |  | trim neighborhoods
node14.cluster | 97920 | 2020-02-04 18:39:23.874888 +0100 GMT |  | add igraph attributes
node14.cluster | 97920 | 2020-02-04 18:39:23.876989 +0100 GMT |  | finalize igraph
node14.cluster | 97920 | 2020-02-04 18:39:23.884886 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-04 18:39:23.886348 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-04 18:39:24.118726 +0100 GMT | pre_imputation_script | import
node14.cluster | 97920 | 2020-02-04 18:39:24.130577 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-04 18:39:24.143001 +0100 GMT | file data/processed/reference_files/rsid_conversion.txt | import
node14.cluster | 97920 | 2020-02-04 18:39:24.157340 +0100 GMT | file data/processed/phenotype_data/PSYMETAB_GWAS_dupIDs_set.txt | import
node14.cluster | 97920 | 2020-02-04 18:39:24.170866 +0100 GMT | file data/processed/phenotype_data/PSYMETAB_GWAS_dupIDs.txt | import
node14.cluster | 97920 | 2020-02-04 18:39:24.191349 +0100 GMT | file data/processed/phenotype_data/PSYMETAB_GWAS_eth.txt | import
node14.cluster | 97920 | 2020-02-04 18:39:24.204644 +0100 GMT | file data/processed/phenotype_data/PSYMETAB_GWAS_sex.txt | import
node14.cluster | 97920 | 2020-02-04 18:39:24.218520 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-04 18:39:24.227430 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-04 18:39:24.248949 +0100 GMT | run_pre_imputation | skip
node14.cluster | 97920 | 2020-02-04 18:39:24.250466 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-04 18:39:24.252916 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-04 18:39:24.254597 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-04 18:39:24.255659 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-04 18:39:24.257796 +0100 GMT |  | All targets are already up to date.
node14.cluster | 97920 | 2020-02-04 18:39:31.753906 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-05 10:06:08.112605 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-05 10:06:08.135881 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-05 10:06:08.152539 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-05 10:06:08.196495 +0100 GMT |  | analyze imports
